I_rad,T_out,H_air,T_air,I_rad,T_out,H_air,T_air
0,23.2,83.4,24.3,0,22.7,88.3,23.1
0,23.2,84,24.2,0,22.3,88.9,23
0,23.1,84.4,24.2,0,22.2,89.7,22.9
0,23.2,84.1,24.1,0,22.2,89.5,23
0,23.2,84.8,23.9,0,22.3,89,23.1
0,23.1,85.3,23.8,0,22.5,88.6,23.1
0,22.9,86.5,23.6,0,22.3,88.8,23.1
0,22.7,87.3,23.5,0,22.3,89,23
0,22.8,86.9,23.6,0,22.4,88.5,23
0,23,86.8,23.4,0,22.2,89.1,22.8
0,22.6,87.5,23.4,0,21.9,89.3,22.7
0,22.7,87.8,23.2,0,21.9,88.5,22.7
0,22.7,88.3,23.1,0,21.9,88.6,22.6
0,22.3,88.9,23,0,21.8,89,22.6
0,22.2,89.7,22.9,0,21.8,89.3,22.5
0,22.2,89.5,23,0,21.8,89.8,22.4
0,22.3,89,23.1,0,21.9,89.4,22.3
0,22.5,88.6,23.1,0,21.6,89.6,22.2
0,22.3,88.8,23.1,0,21.4,89.4,22.2
0,22.3,89,23,0,21.4,89.8,22.1
0,22.4,88.5,23,0,21.4,89.9,22.1
0,22.2,89.1,22.8,0,21.2,89.9,22
0,21.9,89.3,22.7,0,21.2,89.5,22
0,21.9,88.5,22.7,0,21.2,89.6,22
0,21.9,88.6,22.6,0,21.2,90.3,21.9
0,21.8,89,22.6,0,21.2,90.4,21.9
0,21.8,89.3,22.5,0,21.3,91.1,21.9
0,21.8,89.8,22.4,0,21.5,90.6,21.9
0,21.9,89.4,22.3,0,21.5,90.4,21.9
0,21.6,89.6,22.2,0,21,90.4,21.8
0,21.4,89.4,22.2,0,20.7,91.5,21.8
0,21.4,89.8,22.1,0,20.9,91.1,21.8
0,21.4,89.9,22.1,0,21.1,90.7,21.8
0,21.2,89.9,22,0,20.8,90.2,21.8
0,21.2,89.5,22,0,20.6,91.1,21.8
0,21.2,89.6,22,0,20.7,91.4,21.7
0,21.2,90.3,21.9,0,21,90.4,21.8
0,21.2,90.4,21.9,0,21,91.9,21.7
0,21.3,91.1,21.9,0.0249,21.1,91.2,21.9
0,21.5,90.6,21.9,0.2988,21.3,91.1,22
0,21.5,90.4,21.9,0.8798,21.3,91.1,22.1
0,21,90.4,21.8,1.8924,21,91.5,22.1
0,20.7,91.5,21.8,3.1623,21.1,91.1,22.3
0,20.9,91.1,21.8,4.8306,21.5,90.6,22.6
0,21.1,90.7,21.8,7.2874,21.8,90.8,22.8
0,20.8,90.2,21.8,10.4248,22.2,90.5,23
0,20.6,91.1,21.8,12.0682,22.2,89.9,23.3
0,20.7,91.4,21.7,16.5751,21.9,88.1,23.5
0,21,90.4,21.8,23.9455,22,86.2,23.8
0,21,91.9,21.7,26.9833,22.3,85.9,24.2
0.0249,21.1,91.2,21.9,33.2083,22.6,84.6,24.7
0.2988,21.3,91.1,22,57.5605,23.3,81.6,25.6
0.8798,21.3,91.1,22.1,41.3091,23.4,78.3,26.2
1.8924,21,91.5,22.1,43.7161,23.1,78.1,26.7
3.1623,21.1,91.1,22.3,47.3847,23.5,78.7,27
4.8306,21.5,90.6,22.6,51.8916,23.6,74.5,27.4
7.2874,21.8,90.8,22.8,57.1787,23.9,71.9,27.8
10.4248,22.2,90.5,23,68.7987,24.3,72.6,28
12.0682,22.2,89.9,23.3,71.5128,24.5,71.6,28.5
16.5751,21.9,88.1,23.5,81.4064,24.6,70.3,29.2
23.9455,22,86.2,23.8,86.7267,24.6,65.3,29.8
26.9833,22.3,85.9,24.2,198.287,24.6,64.6,30.4
33.2083,22.6,84.6,24.7,239.123,25.4,60.7,32.2
57.5605,23.3,81.6,25.6,135.8627,26.1,57.8,32.9
41.3091,23.4,78.3,26.2,106.2151,26.2,56.3,33.5
43.7161,23.1,78.1,26.7,102.7457,26.5,53.8,33.6
47.3847,23.5,78.7,27,133.3063,26.4,54.5,33.4
51.8916,23.6,74.5,27.4,132.7502,26.8,55.8,33.7
57.1787,23.9,71.9,27.8,293.7785,27.3,51.1,34.7
68.7987,24.3,72.6,28,220.7468,27.4,49,36
71.5128,24.5,71.6,28.5,201.9307,27.9,46.1,38.1
81.4064,24.6,70.3,29.2,228.1836,28.3,42.1,39.3
86.7267,24.6,65.3,29.8,168.6228,28.7,41.6,39.8
198.287,24.6,64.6,30.4,160.6963,28.5,39.5,40
239.123,25.4,60.7,32.2,162.1654,28.3,40.2,39.6
135.8627,26.1,57.8,32.9,173.7107,28.9,41.8,38.9
106.2151,26.2,56.3,33.5,143.2829,28.3,40.8,38.6
102.7457,26.5,53.8,33.6,195.5812,29.1,40.4,38.5
133.3063,26.4,54.5,33.4,179.2302,29.2,40.2,38.9
132.7502,26.8,55.8,33.7,148.3127,29,37.7,39.8
293.7785,27.3,51.1,34.7,204.9187,30.7,35.6,40.1
220.7468,27.4,49,36,177.6034,30.1,36.1,40.1
201.9307,27.9,46.1,38.1,153.052,30.6,35.9,42.1
228.1836,28.3,42.1,39.3,166.415,31.1,33.2,43
168.6228,28.7,41.6,39.8,173.8601,31.2,32,43.7
160.6963,28.5,39.5,40,145.8393,30.5,31.5,42.9
162.1654,28.3,40.2,39.6,155.376,31.4,34.3,41.9
173.7107,28.9,41.8,38.9,134.3438,31.3,33.7,41.6
143.2829,28.3,40.8,38.6,150.7446,32,34.4,40.9
195.5812,29.1,40.4,38.5,149.4083,32.1,34.8,41.3
179.2302,29.2,40.2,38.9,137.6306,32.4,34.6,41.8
148.3127,29,37.7,39.8,141.432,33.4,32.9,42.9
204.9187,30.7,35.6,40.1,166.166,33.4,33.6,43.5
177.6034,30.1,36.1,40.1,138.4191,34.3,32.6,43.9
153.052,30.6,35.9,42.1,148.9269,33.4,32.9,43.5
166.415,31.1,33.2,43,112.3986,33.6,32.8,43.2
173.8601,31.2,32,43.7,159.3268,33.6,33.2,42.9
145.8393,30.5,31.5,42.9,134.6758,34.1,33.4,42.7
155.376,31.4,34.3,41.9,113.1788,33.9,32.5,43.2
134.3438,31.3,33.7,41.6,82.8008,33.6,34.8,42
150.7446,32,34.4,40.9,80.3938,32.9,36.5,40.7
149.4083,32.1,34.8,41.3,176.5659,34.8,35.9,41.1
137.6306,32.4,34.6,41.8,161.103,35,35.1,42.2
141.432,33.4,32.9,42.9,136.95,34.9,34,42.7
166.166,33.4,33.6,43.5,145.1006,35.5,33.3,43.2
138.4191,34.3,32.6,43.9,129.7373,37,33.9,43.7
