Irad,Tout,Hair,Tair,Irad,Tout,Hair,Tair
301.385,4.5,32.56666667,20.56666667,37.13,4,40.2,11.73333333
288.271,4.4,30.1,20.3,23.068,3.8,42.16666667,10.83333333
276.658,4.5,29.93333333,19.7,13.43,3.6,44.1,10.03333333
257.698,4.6,30.56666667,18.66666667,6.636,3.2,46.53333333,9.4
241.661,4.4,31.66666667,17.66666667,2.37,3.1,48.33333333,9.066666667
218.356,4.6,32.1,17,0.474,2.9,49.3,8.733333333
199.475,4.6,32.93333333,16.06666667,0.079,2.6,51.33333333,8.233333333
171.035,4.6,33.9,15.03333333,0,2.2,52.43333333,7.866666667
118.658,4.4,36.03333333,14.2,0,1.6,56.3,7.366666667
52.772,4.4,37.46666667,13.36666667,0,0.8,60.23333333,7
43.45,4.1,38.76666667,12.56666667,0,0.1,61.96666667,6.633333333
37.13,4,40.2,11.73333333,0,-0.2,63.73333333,6.366666667
23.068,3.8,42.16666667,10.83333333,0,-0.6,65,6.1
13.43,3.6,44.1,10.03333333,0,-1.3,66,5.866666667
6.636,3.2,46.53333333,9.4,0,-2,67,5.633333333
2.37,3.1,48.33333333,9.066666667,0,-2.7,67.6,5.433333333
0.474,2.9,49.3,8.733333333,0,-3,69,5.233333333
0.079,2.6,51.33333333,8.233333333,0,-3.5,69.23333333,5.033333333
0,2.2,52.43333333,7.866666667,0,-4,69.6,4.8
0,1.6,56.3,7.366666667,0,-4.2,70.13333333,4.633333333
0,0.8,60.23333333,7,0,-4.3,70.53333333,4.533333333
0,0.1,61.96666667,6.633333333,0,-4.8,71.13333333,4.366666667
0,-0.2,63.73333333,6.366666667,0,-5.1,71.33333333,4.233333333
0,-0.6,65,6.1,0,-5.1,71.53333333,4.1
0,-1.3,66,5.866666667,0,-5.2,71.83333333,4
0,-2,67,5.633333333,0,-5,71.7,3.866666667
0,-2.7,67.6,5.433333333,0,-5.2,71.86666667,3.733333333
0,-3,69,5.233333333,0,-5.2,72.26666667,3.633333333
0,-3.5,69.23333333,5.033333333,0,-5.5,73.1,3.566666667
0,-4,69.6,4.8,0,-4.9,73.1,3.5
0,-4.2,70.13333333,4.633333333,0,-5,72.96666667,3.4
0,-4.3,70.53333333,4.533333333,0,-5.1,73.4,3.333333333
0,-4.8,71.13333333,4.366666667,0,-2.5,74.43333333,3.333333333
0,-5.1,71.33333333,4.233333333,0,-2.5,74.63333333,3.266666667
0,-5.1,71.53333333,4.1,0,-2.4,74.8,3.233333333
0,-5.2,71.83333333,4,0,-3.1,75.23333333,3.2
0,-5,71.7,3.866666667,0,-2.7,75.2,3.166666667
0,-5.2,71.86666667,3.733333333,0,-1.8,75.5,3.166666667
0,-5.2,72.26666667,3.633333333,0,-1.4,75.9,3.166666667
0,-5.5,73.1,3.566666667,0,-1.1,76.06666667,3.166666667
0,-4.9,73.1,3.5,0,-1.3,76.16666667,3.133333333
0,-5,72.96666667,3.4,0,-2.1,76.13333333,3.133333333
0,-5.1,73.4,3.333333333,0,-2.9,76.2,3.066666667
0,-2.5,74.43333333,3.333333333,0,-3.4,76.1,3.033333333
0,-2.5,74.63333333,3.266666667,0,-4.1,75.86666667,2.966666667
0,-2.4,74.8,3.233333333,0,-4.5,75.93333333,2.9
0,-3.1,75.23333333,3.2,0,-4.9,76,2.9
0,-2.7,75.2,3.166666667,0,-5.5,75.93333333,2.833333333
0,-1.8,75.5,3.166666667,0,-5.8,76.26666667,2.733333333
0,-1.4,75.9,3.166666667,0,-5.9,76.4,2.666666667
0,-1.1,76.06666667,3.166666667,0,-6,76.23333333,2.633333333
0,-1.3,76.16666667,3.133333333,0,-5.7,76.53333333,2.633333333
0,-2.1,76.13333333,3.133333333,0,-5.3,76.96666667,2.6
0,-2.9,76.2,3.066666667,0,-5.6,77.13333333,2.6
0,-3.4,76.1,3.033333333,0,-5,77.33333333,2.566666667
0,-4.1,75.86666667,2.966666667,0,-4.8,77.43333333,2.566666667
0,-4.5,75.93333333,2.9,0,-4.3,77.53333333,2.5
0,-4.9,76,2.9,0,-4.7,77.6,2.5
0,-5.5,75.93333333,2.833333333,0,-3.1,77.7,2.5
0,-5.8,76.26666667,2.733333333,0,-0.1,78.4,2.6
0,-5.9,76.4,2.666666667,0,1.1,78.63333333,2.666666667
