Irad,Tout,Hair,Tair,Irad,Tout,Hair,Tair
34.1122,37.6,60.6,35.3,0.6004,33.2,62.5,32.7
29.0562,36,61.5,35.1,0.2133,32.6,58.9,32.3
23.2734,35,62.1,34.9,0.1185,32.5,58.7,32.1
16.2582,34.1,63.3,34.5,0,32.6,61.7,31.8
12.3082,34.2,64.1,34.4,0,32.6,70.1,30.7
9.2272,33.6,65.9,34,0,32.5,73.8,29.7
7.0073,33.5,65.8,33.7,0,32.2,76.7,29.4
5.6327,33.7,67.1,33.5,0,31.6,77.3,29.2
4.3055,33.6,68.2,33.3,0,31.3,75.3,29.2
3.081,33.8,67.9,33.2,0,31.1,74.9,29.1
1.9276,33.2,68.8,33.1,0,30.4,73.1,29.1
0.2133,33.3,69,33,0,28.2,74.3,29
0.6004,33.2,62.5,32.7,0,28.3,73.1,29
0.2133,32.6,58.9,32.3,0,28.5,73.8,28.9
0.1185,32.5,58.7,32.1,0,28.3,74.8,28.8
0,32.6,61.7,31.8,0,28.8,78.2,28.6
0,32.6,70.1,30.7,0,28.8,79.6,28.6
0,32.5,73.8,29.7,0,29,78,28.7
0,32.2,76.7,29.4,0,28.4,78.7,28.5
0,31.6,77.3,29.2,0,28.4,80.8,28.5
0,31.3,75.3,29.2,0,28.6,80.5,28.4
0,31.1,74.9,29.1,0,28.4,79.8,28.4
0,30.4,73.1,29.1,0,27.8,79,28.4
0,28.2,74.3,29,0,28,79.8,28.2
0,28.3,73.1,29,0,27.9,79.8,28.3
0,28.5,73.8,28.9,0,28,79.8,28.3
0,28.3,74.8,28.8,0,27.9,80.2,28.2
0,28.8,78.2,28.6,0,26.6,80.3,28.4
0,28.8,79.6,28.6,0,27.1,79.4,28.3
0,29,78,28.7,0,27.2,78.6,28.4
0,28.4,78.7,28.5,0,27.4,78.6,28.4
0,28.4,80.8,28.5,0,27,80.7,28.3
0,28.6,80.5,28.4,0,27.5,79.8,28.2
0,28.4,79.8,28.4,0,27.4,80.3,28.3
0,27.8,79,28.4,0,27.8,80.4,28.3
0,28,79.8,28.2,0,27.6,78.7,28.2
0,27.9,79.8,28.3,0,27.9,76.5,28.3
0,28,79.8,28.3,0,27.9,76.3,28.2
0,27.9,80.2,28.2,0,27,76.4,28.3
0,26.6,80.3,28.4,0,27.1,76.2,28.2
0,27.1,79.4,28.3,0,27.6,76.7,28.3
0,27.2,78.6,28.4,0,27.5,76.4,28.3
0,27.4,78.6,28.4,0,27.9,76.5,28.5
0,27,80.7,28.3,0,28.1,77.6,28.4
0,27.5,79.8,28.2,0,27.8,77.9,28.4
0,27.4,80.3,28.3,0,27.6,77.9,28.3
0,27.8,80.4,28.3,0,27.6,79,28.2
0,27.6,78.7,28.2,0,27.5,79.5,28.1
0,27.9,76.5,28.3,0,27.4,80.4,28
0,27.9,76.3,28.2,0,27.6,80.5,27.9
0,27,76.4,28.3,0,27.5,81.1,27.8
0,27.1,76.2,28.2,0,27.3,81.6,27.7
0,27.6,76.7,28.3,0,27.3,82,27.7
0,27.5,76.4,28.3,0,26.8,82.3,27.6
0,27.9,76.5,28.5,0,26.9,81.8,27.6
0,28.1,77.6,28.4,0,26.8,81.8,27.6
0,27.8,77.9,28.4,0,26.9,82.4,27.5
0,27.6,77.9,28.3,0,26.5,83.2,27.5
0,27.6,79,28.2,0,26.6,83.2,27.4
0,27.5,79.5,28.1,0,26.5,83.5,27.4
0,27.4,80.4,28,0,26.7,84.5,27.3
